id,price,total_area,living_area,rooms,floor,total_floors,year,distance,balcony,condition,type,district,url
89,5486000.0,42.2,27.8,1,1,22,1970,331.0,лоджия,Неизвестно,квартира,Ленинский,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_422_m_122_et._4391547728?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBUGVMNXRpZTZTQ2szZEdmIjt9AQ9aZj8AAAA
90,2066000.0,20.0,14.0,0,5,5,1963,858.0,Нет,косметический,Квартира-студия,Железнодорожный,https://www.avito.ru/barnaul/kvartiry/kvartira-studiya_20_m_55_et._4309457478?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ5NzNjNjg5N2psRVg3c2tqIjt94OWqvD8AAAA
91,4888000.0,37.6,17.9,1,2,10,1970,1332.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_376_m_210_et._4391875814?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIzaUZzZmxiYlZuc0kxaDJSIjt9yw7OTD8AAAA
92,6600000.0,60.6,41.4,2,2,5,1960,485.0,Нет,косметический,квартира,Октябрьский,https://www.avito.ru/barnaul/kvartiry/2-k._kvartira_606_m_25_et._4174674345?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJHVDhndGdRS2ZNbkROQkZXIjt9DMtGGz8AAAA
93,10000000.0,96.0,0.0,3,9,16,2016,521.0,лоджия,евро,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_96_m_916_et._4541690895?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkclFGbDAwUEt5SzVOcXF5Ijt9bwHmVD8AAAA
94,5597110.0,34.7,13.3,1,10,10,1970,459.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_347_m_1010_et._4231693508?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJaWjNYU20zdUJNM0dxcHNQIjt9pgRmZj8AAAA
95,6852600.0,48.6,24.2,2,5,18,1970,531.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/2-k._kvartira_486_m_518_et._4424327148?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDZXNiTVBVenhCWTJZZzFTIjt96Wyb2z8AAAA
96,8182000.0,68.1,35.1,3,8,17,1970,1492.0,лоджия,Неизвестно,квартира,Ленинский,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_681_m_817_et._4423706183?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJJM1RWajY2Z0o0N24zOE52Ijt9CjWYcj8AAAA
97,20724000.0,94.2,35.0,2,18,27,1970,562.0,Нет,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/2-k._kvartira_942_m_1827_et._4424197371?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJpZzRVa1dOc1F4dkpyaVpKIjt9zJvAYT8AAAA
98,1580000.0,15.0,12.5,0,2,4,1959,884.0,Нет,евро,Квартира-студия,Октябрьский,https://www.avito.ru/barnaul/kvartiry/kvartira-studiya_15_m_24_et._4341734654?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0V3kzWTJpOGZIU3VjUEFuIjt9VLBamj8AAAA
99,5580000.0,34.3,19.0,1,6,10,2007,838.0,лоджия,евро,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_343_m_610_et._4636970453?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMUTZsTnBtU2hxa0FkdXBIIjt94j7TBz8AAAA
100,6100000.0,53.0,0.0,2,3,10,1970,359.0,лоджия,косметический,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/2-k._kvartira_53_m_310_et._4668385976?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxcTFLS3F1aHhqVW1hbkxvIjt9qj2coT8AAAA
101,6916000.0,49.4,26.4,2,5,25,1970,884.0,лоджия,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/2-k._kvartira_494_m_525_et._4612678837?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsQmZodEVEQjB6YTE5MXhPIjt9_wBQJD8AAAA
102,5490000.0,33.6,20.0,1,3,9,1985,765.0,лоджия,дизайнерский,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/1-k._kvartira_336_m_39_et._3995637365?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJWWVlGY3d0V0tOVzNIT2gzIjt9sH0I6D8AAAA
